Time - Ch 1	Amplitude - Ch 1	Time - Ch 2	Amplitude - Ch 2	Time - Ch 3	Amplitude - Ch 3	Time - Ch 4	Amplitude - Ch 4	Time - Ch 5	Amplitude - Ch 5	Time - Ch 6	Amplitude - Ch 6	Time - Ch 7	Amplitude - Ch 7	Time - Ch 8	Amplitude - Ch 8
0	0.000701997	0	0.000682227	0	-2.28907E-5	0	1.66486E-5	0	0.000695407	0	-2.94806E-5	0	0.000365913	0	0.000655868
1	0.000734947	1	0.000655868	1	-4.92503E-5	1	-1.63008E-5	1	0.000708587	1	-3.60705E-5	1	0.000392272	1	0.000655868
2	0.000708587	2	0.000688817	2	-3.60705E-5	2	1.66486E-5	2	0.000701997	2	-3.60705E-5	2	0.000359323	2	0.000655868
3	0.000701997	3	0.000688817	3	-2.94806E-5	3	3.64183E-5	3	0.000662458	3	-2.28907E-5	3	0.000379093	3	0.000642688
4	0.000695407	4	0.000695407	4	-4.26604E-5	4	-3.12105E-6	4	0.000708587	4	3.46884E-6	4	0.000392272	4	0.000622918
5	0.000728357	5	0.000662458	5	-4.92503E-5	5	3.64183E-5	5	0.000682227	5	3.46884E-6	5	0.000392272	5	0.000649278
6	0.000708587	6	0.000701997	6	-3.60705E-5	6	-1.63008E-5	6	0.000708587	6	-3.60705E-5	6	0.000398862	6	0.000662458
7	0.000748126	7	0.000682227	7	-2.28907E-5	7	1.00587E-5	7	0.000708587	7	1.00587E-5	7	0.000392272	7	0.000662458
8	0.000721767	8	0.000675638	8	-4.26604E-5	8	-3.12105E-6	8	0.000688817	8	-1.63008E-5	8	0.000392272	8	0.000649278
9	0.000734947	9	0.000675638	9	-4.92503E-5	9	3.46884E-6	9	0.000701997	9	-2.28907E-5	9	0.000372503	9	0.000655868
10	0.000708587	10	0.000688817	10	-1.63008E-5	10	1.66486E-5	10	0.000708587	10	-1.63008E-5	10	0.000405452	10	0.000642688
11	0.000734947	11	0.000669048	11	-2.94806E-5	11	-1.63008E-5	11	0.000682227	11	-9.71094E-6	11	0.000405452	11	0.000642688
12	0.000741536	12	0.000669048	12	-4.26604E-5	12	-3.60705E-5	12	0.000682227	12	-1.63008E-5	12	0.000379093	12	0.000649278
13	0.000721767	13	0.000701997	13	-4.92503E-5	13	3.46884E-6	13	0.000688817	13	-2.28907E-5	13	0.000365913	13	0.000642688
14	0.000721767	14	0.000682227	14	-5.58402E-5	14	-3.12105E-6	14	0.000688817	14	-2.28907E-5	14	0.000379093	14	0.000655868
15	0.000734947	15	0.000688817	15	-2.94806E-5	15	-2.28907E-5	15	0.000662458	15	-3.60705E-5	15	0.000385682	15	0.000655868
16	0.000728357	16	0.000675638	16	-2.28907E-5	16	-4.92503E-5	16	0.000675638	16	-4.26604E-5	16	0.000385682	16	0.000649278
17	0.000708587	17	0.000669048	17	-4.92503E-5	17	2.32385E-5	17	0.000669048	17	-4.26604E-5	17	0.000398862	17	0.000662458
18	0.000715177	18	0.000695407	18	-4.26604E-5	18	2.32385E-5	18	0.000669048	18	-6.90199E-5	18	0.000385682	18	0.000642688
19	0.000741536	19	0.000682227	19	-9.71094E-6	19	1.66486E-5	19	0.000669048	19	-8.21997E-5	19	0.000392272	19	0.000669048
20	0.000708587	20	0.000688817	20	1.00587E-5	20	3.46884E-6	20	0.000662458	20	-6.90199E-5	20	0.000385682	20	0.000649278
21	0.000715177	21	0.000669048	21	-3.12105E-6	21	2.98284E-5	21	0.000662458	21	-8.87896E-5	21	0.000398862	21	0.000636098
22	0.000715177	22	0.000688817	22	-1.63008E-5	22	1.00587E-5	22	0.000675638	22	-6.90199E-5	22	0.000379093	22	0.000662458
23	0.000701997	23	0.000688817	23	3.46884E-6	23	3.46884E-6	23	0.000655868	23	-0.000121739	23	0.000392272	23	0.000669048
24	0.000715177	24	0.000682227	24	-3.12105E-6	24	-3.12105E-6	24	0.000662458	24	-5.58402E-5	24	0.000385682	24	0.000655868
25	0.000708587	25	0.000669048	25	-2.28907E-5	25	3.46884E-6	25	0.000649278	25	-9.53795E-5	25	0.000405452	25	0.000649278
26	0.000708587	26	0.000682227	26	-3.12105E-6	26	-9.71094E-6	26	0.000682227	26	-6.90199E-5	26	0.000359323	26	0.000649278
27	0.000734947	27	0.000682227	27	-4.26604E-5	27	-1.63008E-5	27	0.000662458	27	-6.90199E-5	27	0.000405452	27	0.000675638
28	0.000708587	28	0.000695407	28	1.00587E-5	28	-9.71094E-6	28	0.000669048	28	-4.92503E-5	28	0.000398862	28	0.000649278
29	0.000708587	29	0.000695407	29	1.00587E-5	29	3.46884E-6	29	0.000655868	29	-5.58402E-5	29	0.000372503	29	0.000675638
30	0.000695407	30	0.000688817	30	-9.71094E-6	30	-2.94806E-5	30	0.000669048	30	-8.87896E-5	30	0.000418632	30	0.000636098
31	0.000715177	31	0.000682227	31	-9.71094E-6	31	1.00587E-5	31	0.000649278	31	-8.87896E-5	31	0.000385682	31	0.000662458
32	0.000669048	32	0.000682227	32	-1.63008E-5	32	-2.94806E-5	32	0.000675638	32	-8.21997E-5	32	0.000385682	32	0.000642688
33	0.000728357	33	0.000682227	33	-1.63008E-5	33	3.64183E-5	33	0.000662458	33	-6.24301E-5	33	0.000385682	33	0.000655868
34	0.000701997	34	0.000695407	34	2.32385E-5	34	-5.58402E-5	34	0.000655868	34	-8.87896E-5	34	0.000385682	34	0.000662458
35	0.000728357	35	0.000675638	35	-9.71094E-6	35	-3.12105E-6	35	0.000675638	35	-6.90199E-5	35	0.000379093	35	0.000669048
36	0.000688817	36	0.000682227	36	-1.63008E-5	36	1.66486E-5	36	0.000669048	36	-7.56098E-5	36	0.000385682	36	0.000649278
37	0.000721767	37	0.000688817	37	-9.71094E-6	37	4.95981E-5	37	0.000675638	37	-8.21997E-5	37	0.000392272	37	0.000675638
38	0.000734947	38	0.000688817	38	3.46884E-6	38	2.98284E-5	38	0.000669048	38	-6.90199E-5	38	0.000385682	38	0.000642688
39	0.000734947	39	0.000682227	39	3.46884E-6	39	2.32385E-5	39	0.000662458	39	-8.21997E-5	39	0.000385682	39	0.000649278
40	0.000728357	40	0.000662458	40	-9.71094E-6	40	1.00587E-5	40	0.000688817	40	-4.92503E-5	40	0.000398862	40	0.000662458
41	0.000728357	41	0.000675638	41	1.00587E-5	41	-1.63008E-5	41	0.000688817	41	-0.000108559	41	0.000385682	41	0.000642688
42	0.000715177	42	0.000675638	42	-9.71094E-6	42	-5.58402E-5	42	0.000675638	42	-3.60705E-5	42	0.000379093	42	0.000655868
43	0.000688817	43	0.000695407	43	-2.28907E-5	43	1.66486E-5	43	0.000669048	43	-7.56098E-5	43	0.000392272	43	0.000675638
44	0.000715177	44	0.000682227	44	3.46884E-6	44	4.95981E-5	44	0.000688817	44	-5.58402E-5	44	0.000385682	44	0.000662458
45	0.000708587	45	0.000655868	45	-2.28907E-5	45	6.27778E-5	45	0.000669048	45	-4.92503E-5	45	0.000392272	45	0.000675638
46	0.000708587	46	0.000682227	46	-2.28907E-5	46	1.66486E-5	46	0.000669048	46	-4.26604E-5	46	0.000385682	46	0.000655868
47	0.000734947	47	0.000682227	47	-9.71094E-6	47	-1.63008E-5	47	0.000682227	47	-4.26604E-5	47	0.000392272	47	0.000669048
48	0.000682227	48	0.000669048	48	-1.63008E-5	48	-4.92503E-5	48	0.000701997	48	-4.26604E-5	48	0.000405452	48	0.000649278
49	0.000721767	49	0.000669048	49	-9.71094E-6	49	2.32385E-5	49	0.000682227	49	-2.28907E-5	49	0.000385682	49	0.000662458
50	0.000695407	50	0.000688817	50	-9.71094E-6	50	3.46884E-6	50	0.000695407	50	-9.71094E-6	50	0.000359323	50	0.000662458
51	0.000748126	51	0.000669048	51	-1.63008E-5	51	2.98284E-5	51	0.000701997	51	3.46884E-6	51	0.000385682	51	0.000629508
52	0.000721767	52	0.000675638	52	-2.28907E-5	52	-3.12105E-6	52	0.000708587	52	3.46884E-6	52	0.000365913	52	0.000655868
53	0.000754716	53	0.000682227	53	-2.94806E-5	53	-9.71094E-6	53	0.000695407	53	3.46884E-6	53	0.000365913	53	0.000655868
54	0.000701997	54	0.000682227	54	-1.63008E-5	54	1.66486E-5	54	0.000701997	54	2.98284E-5	54	0.000359323	54	0.000649278
55	0.000728357	55	0.000675638	55	-3.12105E-6	55	1.00587E-5	55	0.000682227	55	-3.12105E-6	55	0.000398862	55	0.000636098
56	0.000695407	56	0.000669048	56	-3.60705E-5	56	-2.28907E-5	56	0.000701997	56	-9.71094E-6	56	0.000372503	56	0.000642688
57	0.000721767	57	0.000682227	57	-2.28907E-5	57	1.00587E-5	57	0.000695407	57	1.00587E-5	57	0.000372503	57	0.000655868
58	0.000721767	58	0.000662458	58	-5.58402E-5	58	-9.71094E-6	58	0.000701997	58	-9.71094E-6	58	0.000372503	58	0.000642688
59	0.000701997	59	0.000682227	59	-2.28907E-5	59	1.00587E-5	59	0.000695407	59	3.46884E-6	59	0.000372503	59	0.000649278
60	0.000708587	60	0.000675638	60	-2.94806E-5	60	-2.28907E-5	60	0.000701997	60	-1.63008E-5	60	0.000385682	60	0.000642688
61	0.000715177	61	0.000688817	61	-9.71094E-6	61	2.32385E-5	61	0.000695407	61	1.00587E-5	61	0.000372503	61	0.000662458
62	0.000701997	62	0.000669048	62	-3.60705E-5	62	-3.12105E-6	62	0.000695407	62	1.66486E-5	62	0.000379093	62	0.000649278
63	0.000708587	63	0.000675638	63	-3.60705E-5	63	2.32385E-5	63	0.000688817	63	3.46884E-6	63	0.000379093	63	0.000655868
64	0.000728357	64	0.000669048	64	-3.12105E-6	64	-2.28907E-5	64	0.000708587	64	1.66486E-5	64	0.000372503	64	0.000649278
65	0.000708587	65	0.000695407	65	-2.28907E-5	65	2.32385E-5	65	0.000695407	65	-1.63008E-5	65	0.000392272	65	0.000642688
66	0.000715177	66	0.000688817	66	-9.71094E-6	66	1.00587E-5	66	0.000695407	66	2.98284E-5	66	0.000385682	66	0.000649278
67	0.000715177	67	0.000655868	67	-1.63008E-5	67	3.46884E-6	67	0.000695407	67	2.98284E-5	67	0.000379093	67	0.000642688
68	0.000708587	68	0.000662458	68	-3.12105E-6	68	1.00587E-5	68	0.000701997	68	-3.12105E-6	68	0.000372503	68	0.000655868
69	0.000741536	69	0.000701997	69	-2.28907E-5	69	-2.28907E-5	69	0.000682227	69	1.66486E-5	69	0.000372503	69	0.000622918
70	0.000715177	70	0.000682227	70	-2.28907E-5	70	3.46884E-6	70	0.000708587	70	2.98284E-5	70	0.000372503	70	0.000642688
71	0.000728357	71	0.000675638	71	-2.94806E-5	71	2.32385E-5	71	0.000721767	71	3.46884E-6	71	0.000385682	71	0.000649278
72	0.000695407	72	0.000655868	72	-1.63008E-5	72	-9.71094E-6	72	0.000708587	72	1.66486E-5	72	0.000365913	72	0.000669048
73	0.000701997	73	0.000662458	73	-2.94806E-5	73	6.93677E-5	73	0.000695407	73	2.32385E-5	73	0.000372503	73	0.000649278
74	0.000734947	74	0.000682227	74	-1.63008E-5	74	1.66486E-5	74	0.000701997	74	3.64183E-5	74	0.000379093	74	0.000649278
75	0.000728357	75	0.000688817	75	-1.63008E-5	75	1.00587E-5	75	0.000715177	75	3.64183E-5	75	0.000359323	75	0.000662458
76	0.000715177	76	0.000682227	76	-1.63008E-5	76	3.46884E-6	76	0.000728357	76	6.27778E-5	76	0.000365913	76	0.000629508
77	0.000715177	77	0.000669048	77	-2.94806E-5	77	4.30082E-5	77	0.000708587	77	4.95981E-5	77	0.000392272	77	0.000669048
78	0.000695407	78	0.000688817	78	-2.28907E-5	78	1.00587E-5	78	0.000715177	78	7.59576E-5	78	0.000379093	78	0.000649278
79	0.000734947	79	0.000682227	79	-3.60705E-5	79	3.64183E-5	79	0.000708587	79	6.27778E-5	79	0.000379093	79	0.000669048
