Time - Ch 1	Amplitude - Ch 1	Time - Ch 2	Amplitude - Ch 2	Time - Ch 3	Amplitude - Ch 3	Time - Ch 4	Amplitude - Ch 4	Time - Ch 5	Amplitude - Ch 5	Time - Ch 6	Amplitude - Ch 6	Time - Ch 7	Amplitude - Ch 7	Time - Ch 8	Amplitude - Ch 8
0	0.000629508	0	0.000682227	0	-2.28907E-5	0	3.64183E-5	0	0.000497711	0	0.000161626	0	0.000273654	0	0.000800845
1	0.000629508	1	0.000662458	1	-4.26604E-5	1	3.64183E-5	1	0.00051089	1	0.000148446	1	0.000273654	1	0.000787666
2	0.000655868	2	0.000649278	2	-2.94806E-5	2	3.64183E-5	2	0.00051089	2	0.000148446	2	0.000260475	2	0.000814025
3	0.000636098	3	0.000669048	3	-3.60705E-5	3	-2.28907E-5	3	0.000491121	3	0.000148446	3	0.000273654	3	0.000794256
4	0.000636098	4	0.000662458	4	-2.28907E-5	4	2.98284E-5	4	0.00051089	4	0.000161626	4	0.000273654	4	0.000800845
5	0.000636098	5	0.000669048	5	-1.63008E-5	5	5.6188E-5	5	0.0005043	5	0.000141857	5	0.000267064	5	0.000794256
6	0.000655868	6	0.000669048	6	-3.60705E-5	6	2.32385E-5	6	0.00051089	6	0.000141857	6	0.000260475	6	0.000814025
7	0.000642688	7	0.000649278	7	-2.28907E-5	7	1.66486E-5	7	0.0005043	7	0.000141857	7	0.000253885	7	0.000800845
8	0.000629508	8	0.000675638	8	-3.12105E-6	8	-3.12105E-6	8	0.00051089	8	0.000181396	8	0.000280244	8	0.000807435
9	0.000616329	9	0.000669048	9	-2.28907E-5	9	4.30082E-5	9	0.00052407	9	0.000135267	9	0.000260475	9	0.000800845
10	0.000609739	10	0.000675638	10	-3.12105E-6	10	-1.63008E-5	10	0.00052407	10	0.000148446	10	0.000260475	10	0.000787666
11	0.000655868	11	0.000636098	11	3.46884E-6	11	3.64183E-5	11	0.0005043	11	0.000168216	11	0.000267064	11	0.000814025
